"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";2
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";4
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";18
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";3
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";4
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";13
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";522
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";106
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";167
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";4
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";26
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";410
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";12
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";252
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"PERMANENTE";"CHINA                                   ";4
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";5
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";15
"AC";"SAIDA  ";"PERMANENTE";"PORTUGAL                                ";1
"AC";"SAIDA  ";"PERMANENTE";"REINO UNIDO                             ";1
"AC";"SAIDA  ";"PERMANENTE";"SENEGAL                                 ";8
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";6
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";2
"AC";"SAIDA  ";"VISITANTE ";"GRÉCIA                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";5
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"PARAGUAI                                ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";2
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";1
