"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";215
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";18
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";9
"AC";"ENTRADA";"OUTROS    ";"CHILE                                   ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";8
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";169
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";1
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";2
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"OUTROS    ";"CUBA                                    ";7
"AC";"SAIDA  ";"OUTROS    ";"EQUADOR                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"HAITI                                   ";6
"AC";"SAIDA  ";"OUTROS    ";"REPÚBLICA DOMINICANA                    ";2
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";4
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";226
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";21
"AC";"SAIDA  ";"OUTROS    ";"EGITO                                   ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";12
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";3
"AC";"SAIDA  ";"TEMPORÁRIO";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";249
"AL";"ENTRADA";"OUTROS    ";"CROÁCIA                                 ";2
"AL";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";77
"AL";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";40
"AL";"ENTRADA";"OUTROS    ";"ITÁLIA                                  ";2
"AL";"ENTRADA";"OUTROS    ";"LETÔNIA                                 ";7
"AL";"ENTRADA";"OUTROS    ";"ROMÊNIA                                 ";2
"AL";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";3
"AL";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";2
"AL";"SAIDA  ";"OUTROS    ";"BANGLADESH                              ";1
"AL";"SAIDA  ";"OUTROS    ";"BULGÁRIA                                ";3
"AL";"SAIDA  ";"OUTROS    ";"CHINA                                   ";4
"AL";"SAIDA  ";"OUTROS    ";"CORÉIA DO SUL                           ";4
"AL";"SAIDA  ";"OUTROS    ";"FILIPINAS                               ";87
"AL";"SAIDA  ";"OUTROS    ";"GEÓRGIA                                 ";5
"AL";"SAIDA  ";"OUTROS    ";"ÍNDIA                                   ";30
"AL";"SAIDA  ";"OUTROS    ";"ROMÊNIA                                 ";1
"AL";"SAIDA  ";"OUTROS    ";"RÚSSIA                                  ";4
"AL";"SAIDA  ";"OUTROS    ";"TURQUIA                                 ";4
"AL";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";7
"AL";"SAIDA  ";"OUTROS    ";"CHINA                                   ";2
"AM";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";1
"AM";"ENTRADA";"PERMANENTE";"HONDURAS                                ";1
"AM";"ENTRADA";"PERMANENTE";"PERU                                    ";1
"AM";"ENTRADA";"PERMANENTE";"URUGUAI                                 ";1
"AM";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";10
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";2
"AM";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";1
"AM";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";1
"AM";"ENTRADA";"VISITANTE ";"INDONÉSIA                               ";1
"AM";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";2
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";1
"AM";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";6
"AM";"ENTRADA";"OUTROS    ";"PERU                                    ";10
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";24
"AM";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";3
"AM";"SAIDA  ";"PERMANENTE";"ESTADOS UNIDOS                          ";2
"AM";"SAIDA  ";"PERMANENTE";"HAITI                                   ";14
"AM";"SAIDA  ";"PERMANENTE";"PERU                                    ";2
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";11
"AM";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AM";"SAIDA  ";"VISITANTE ";"HAITI                                   ";6
"AM";"SAIDA  ";"VISITANTE ";"PERU                                    ";1
"AM";"SAIDA  ";"VISITANTE ";"RÚSSIA                                  ";2
"AM";"SAIDA  ";"VISITANTE ";"SUÍÇA                                   ";1
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";1
"AM";"SAIDA  ";"VISITANTE ";"HAITI                                   ";2
"AM";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";2
"AM";"SAIDA  ";"OUTROS    ";"POLÔNIA                                 ";18
"AM";"SAIDA  ";"OUTROS    ";"ROMÊNIA                                 ";1
"AM";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";13
"AM";"SAIDA  ";"OUTROS    ";"ARGENTINA                               ";1
"AM";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";1
"AM";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";9
"AM";"SAIDA  ";"OUTROS    ";"CORÉIA DO SUL                           ";4
"AM";"SAIDA  ";"OUTROS    ";"CROÁCIA                                 ";3
"AM";"SAIDA  ";"OUTROS    ";"EGITO                                   ";2
"AM";"SAIDA  ";"OUTROS    ";"FILIPINAS                               ";130
"AM";"SAIDA  ";"OUTROS    ";"GRÉCIA                                  ";5
"AM";"SAIDA  ";"OUTROS    ";"ÍNDIA                                   ";27
"AM";"SAIDA  ";"OUTROS    ";"RÚSSIA                                  ";13
"AM";"SAIDA  ";"OUTROS    ";"UCRÂNIA                                 ";19
"AM";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";2
"AM";"SAIDA  ";"OUTROS    ";"ESTADOS UNIDOS                          ";4
"AM";"SAIDA  ";"OUTROS    ";"CHILE                                   ";1
"AM";"SAIDA  ";"OUTROS    ";"HAITI                                   ";5
"AM";"SAIDA  ";"OUTROS    ";"ESTADOS UNIDOS                          ";5
"AM";"SAIDA  ";"TEMPORÁRIO";"COLÔMBIA                                ";2
"AM";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";27
"AM";"SAIDA  ";"OUTROS    ";"                                        ";1
"AP";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";1
"AP";"ENTRADA";"PERMANENTE";"FRANÇA                                  ";2
"AP";"ENTRADA";"VISITANTE ";"ÁFRICA DO SUL                           ";1
"AP";"ENTRADA";"VISITANTE ";"CUBA                                    ";3
"AP";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AP";"ENTRADA";"VISITANTE ";"GRÉCIA                                  ";2
"AP";"ENTRADA";"VISITANTE ";"HAITI                                   ";1
"AP";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AP";"ENTRADA";"VISITANTE ";"CUBA                                    ";1
"AP";"ENTRADA";"VISITANTE ";"PERU                                    ";1
"AP";"ENTRADA";"VISITANTE ";"CUBA                                    ";23
"AP";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";14
"AP";"ENTRADA";"VISITANTE ";"GUINÉ BISSAU                            ";1
"AP";"ENTRADA";"VISITANTE ";"HAITI                                   ";1
"AP";"ENTRADA";"VISITANTE ";"PERU                                    ";1
"AP";"ENTRADA";"VISITANTE ";"PORTUGAL                                ";1
"AP";"ENTRADA";"VISITANTE ";"SÍRIA                                   ";4
"AP";"ENTRADA";"OUTROS    ";"GRÉCIA                                  ";1
"AP";"ENTRADA";"OUTROS    ";"POLÔNIA                                 ";1
"AP";"ENTRADA";"OUTROS    ";"ROMÊNIA                                 ";4
"AP";"ENTRADA";"OUTROS    ";"SÉRVIA                                  ";1
"AP";"ENTRADA";"OUTROS    ";"TURQUIA                                 ";9
"AP";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";73
"AP";"ENTRADA";"OUTROS    ";"BRASIL                                  ";38
"AP";"ENTRADA";"OUTROS    ";"BULGÁRIA                                ";1
"AP";"ENTRADA";"OUTROS    ";"CHINA                                   ";19
"AP";"ENTRADA";"OUTROS    ";"CROÁCIA                                 ";11
"AP";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";1
"AP";"ENTRADA";"OUTROS    ";"ETIÓPIA                                 ";2
"AP";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";352
"AP";"ENTRADA";"OUTROS    ";"GANA                                    ";2
"AP";"ENTRADA";"OUTROS    ";"GEÓRGIA                                 ";4
"AP";"ENTRADA";"OUTROS    ";"GRÉCIA                                  ";3
"AP";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";100
"AP";"ENTRADA";"OUTROS    ";"LETÔNIA                                 ";1
"AP";"ENTRADA";"OUTROS    ";"LITUÂNIA                                ";2
"AP";"ENTRADA";"OUTROS    ";"MONTENEGRO                              ";1
"AP";"ENTRADA";"OUTROS    ";"MYANMAR                                 ";26
"AP";"ENTRADA";"OUTROS    ";"ROMÊNIA                                 ";4
"AP";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";12
