UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ARGENTINA                               ;1
AC;ENTRADA;PERMANENTE;BOLÍVIA                                 ;30
AC;ENTRADA;PERMANENTE;COLÔMBIA                                ;12
AC;ENTRADA;PERMANENTE;CUBA                                    ;2
AC;ENTRADA;PERMANENTE;EQUADOR                                 ;1
AC;ENTRADA;PERMANENTE;ESTADOS UNIDOS                          ;1
AC;ENTRADA;PERMANENTE;PARAGUAI                                ;1
AC;ENTRADA;PERMANENTE;PERU                                    ;137
AC;ENTRADA;PERMANENTE;PORTUGAL                                ;1
AC;ENTRADA;PERMANENTE;VENEZUELA                               ;10
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;10
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;6
AC;ENTRADA;VISITANTE ;AUSTRÁLIA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;341
AC;ENTRADA;VISITANTE ;CANADÁ                                  ;2
AC;ENTRADA;VISITANTE ;CHILE                                   ;13
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;20
AC;ENTRADA;VISITANTE ;DOMINICA                                ;4
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;4
AC;ENTRADA;VISITANTE ;ESPANHA                                 ;5
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;6
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;2
AC;ENTRADA;VISITANTE ;IRLANDA                                 ;1
AC;ENTRADA;VISITANTE ;ITÁLIA                                  ;7
AC;ENTRADA;VISITANTE ;PARAGUAI                                ;5
AC;ENTRADA;VISITANTE ;PERU                                    ;977
AC;ENTRADA;VISITANTE ;REPÚBLICA DOMINICANA                    ;8
AC;ENTRADA;VISITANTE ;REPÚBLICA TCHECA                        ;3
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;29
AC;ENTRADA;VISITANTE ;ÁUSTRIA                                 ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;2
AC;ENTRADA;VISITANTE ;PERU                                    ;4
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;105
AC;ENTRADA;VISITANTE ;CANADÁ                                  ;2
AC;ENTRADA;VISITANTE ;CHILE                                   ;1
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;2
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;2
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;1
AC;ENTRADA;VISITANTE ;PARAGUAI                                ;4
AC;ENTRADA;VISITANTE ;PERU                                    ;77
AC;ENTRADA;VISITANTE ;SUÉCIA                                  ;1
AC;ENTRADA;VISITANTE ;SUÍÇA                                   ;1
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;6
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;2
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;5
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;252
AC;ENTRADA;OUTROS    ;BRASIL                                  ;42
AC;ENTRADA;OUTROS    ;PERU                                    ;48
AC;ENTRADA;OUTROS    ;CHILE                                   ;2
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;4
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;1
AC;ENTRADA;OUTROS    ;HAITI                                   ;2
AC;ENTRADA;OUTROS    ;PAQUISTÃO                               ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;17
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;302
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;4
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;2
AC;ENTRADA;OUTROS    ;HAITI                                   ;4
AC;ENTRADA;OUTROS    ;PERU                                    ;6
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;62
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;12
AC;ENTRADA;TEMPORÁRIO;BOLÍVIA                                 ;1
AC;ENTRADA;OUTROS    ;BRASIL                                  ;1665
AC;SAIDA  ;PERMANENTE;AFEGANISTÃO                             ;9
AC;SAIDA  ;PERMANENTE;ARGENTINA                               ;1
AC;SAIDA  ;PERMANENTE;BANGLADESH                              ;6
AC;SAIDA  ;PERMANENTE;BOLÍVIA                                 ;17
AC;SAIDA  ;PERMANENTE;CHILE                                   ;1
AC;SAIDA  ;PERMANENTE;COLÔMBIA                                ;8
AC;SAIDA  ;PERMANENTE;CUBA                                    ;4
AC;SAIDA  ;PERMANENTE;ESPANHA                                 ;1
AC;SAIDA  ;PERMANENTE;ESTADOS UNIDOS                          ;1
AC;SAIDA  ;PERMANENTE;HAITI                                   ;5
AC;SAIDA  ;PERMANENTE;PERU                                    ;85
AC;SAIDA  ;PERMANENTE;VENEZUELA                               ;22
AC;SAIDA  ;PERMANENTE;VIETNÃ                                  ;1
AC;SAIDA  ;VISITANTE ;AFEGANISTÃO                             ;1
AC;SAIDA  ;VISITANTE ;ALEMANHA                                ;5
AC;SAIDA  ;VISITANTE ;ARGENTINA                               ;4
AC;SAIDA  ;VISITANTE ;BOLÍVIA                                 ;358
AC;SAIDA  ;VISITANTE ;BÉLGICA                                 ;1
AC;SAIDA  ;VISITANTE ;CANADÁ                                  ;1
AC;SAIDA  ;VISITANTE ;CHILE                                   ;13
AC;SAIDA  ;VISITANTE ;COLÔMBIA                                ;11
AC;SAIDA  ;VISITANTE ;CUBA                                    ;1
AC;SAIDA  ;VISITANTE ;DINAMARCA                               ;4
AC;SAIDA  ;VISITANTE ;DOMINICA                                ;2
AC;SAIDA  ;VISITANTE ;EGITO                                   ;2
AC;SAIDA  ;VISITANTE ;EQUADOR                                 ;2
AC;SAIDA  ;VISITANTE ;ERITRÉIA                                ;2
AC;SAIDA  ;VISITANTE ;ESPANHA                                 ;3
AC;SAIDA  ;VISITANTE ;ESTADOS UNIDOS                          ;6
AC;SAIDA  ;VISITANTE ;ETIÓPIA                                 ;19
AC;SAIDA  ;VISITANTE ;FRANÇA                                  ;3
AC;SAIDA  ;VISITANTE ;GANA                                    ;14
AC;SAIDA  ;VISITANTE ;INDONÉSIA                               ;2
AC;SAIDA  ;VISITANTE ;IRAQUE                                  ;1
AC;SAIDA  ;VISITANTE ;IRÃ                                     ;2
AC;SAIDA  ;VISITANTE ;ITÁLIA                                  ;2
AC;SAIDA  ;VISITANTE ;JAPÃO                                   ;1
AC;SAIDA  ;VISITANTE ;MOÇAMBIQUE                              ;1
