"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";2
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";16
"AC";"ENTRADA";"PERMANENTE";"CAMARÕES                                ";1
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";1
"AC";"ENTRADA";"PERMANENTE";"HAITI                                   ";2
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";75
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";3
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";11
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";6
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"BÉLGICA                                 ";5
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";308
"AC";"ENTRADA";"VISITANTE ";"BÓSNIA E HERZEGOVINA                    ";1
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";6
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";22
"AC";"ENTRADA";"VISITANTE ";"EL SALVADOR                             ";1
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";3
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";6
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";4
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";2
"AC";"ENTRADA";"VISITANTE ";"NORUEGA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";995
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";2
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";1
"AC";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";21
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";21
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";63
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";18
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";23
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";87
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";23
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";2
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";6
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";3
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";22
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";346
"AC";"ENTRADA";"OUTROS    ";"CAMARÕES                                ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";7
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";515
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";3
"AC";"SAIDA  ";"PERMANENTE";"BANGLADESH                              ";3
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";11
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";17
"AC";"SAIDA  ";"PERMANENTE";"IRAQUE                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"MALI                                    ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";44
"AC";"SAIDA  ";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";10
"AC";"SAIDA  ";"VISITANTE ";"ÁFRICA DO SUL                           ";4
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";3
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";4
"AC";"SAIDA  ";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"SAIDA  ";"VISITANTE ";"BÉLGICA                                 ";5
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";349
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";2
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";7
"AC";"SAIDA  ";"VISITANTE ";"CUBA                                    ";1
"AC";"SAIDA  ";"VISITANTE ";"EL SALVADOR                             ";1
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";4
"AC";"SAIDA  ";"VISITANTE ";"ESLOVÁQUIA                              ";1
