"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ANGOLA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";13
"AC";"ENTRADA";"PERMANENTE";"CHILE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";63
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"REPÚBLICA TCHECA                        ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";4
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";4
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";8
"AC";"ENTRADA";"VISITANTE ";"AUSTRÁLIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";608
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";6
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";20
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";1
"AC";"ENTRADA";"VISITANTE ";"ESLOVÁQUIA                              ";1
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";6
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";10
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";6
"AC";"ENTRADA";"VISITANTE ";"GRÉCIA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"IRLANDA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";7
"AC";"ENTRADA";"VISITANTE ";"JAPÃO                                   ";2
"AC";"ENTRADA";"VISITANTE ";"LITUÂNIA                                ";2
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";656
"AC";"ENTRADA";"VISITANTE ";"PORTUGAL                                ";1
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";3
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA TCHECA                        ";4
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";3
"AC";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";14
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";1
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";32
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";1
"AC";"ENTRADA";"VISITANTE ";"PARAGUAI                                ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";26
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AC";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";2
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";7
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";2
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";59
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";52
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";40
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";1
"AC";"ENTRADA";"OUTROS    ";"GUIANA                                  ";1
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";3
"AC";"ENTRADA";"OUTROS    ";"NIGÉRIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";6
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";159
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";1
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";5
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"ITÁLIA                                  ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";3
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";1162
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";2
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";16
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";3
"AC";"SAIDA  ";"PERMANENTE";"ESPANHA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"NIGÉRIA                                 ";2
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";50
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";4
"AC";"SAIDA  ";"VISITANTE ";"ÁFRICA DO SUL                           ";1
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";4
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";1
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";648
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";5
"AC";"SAIDA  ";"VISITANTE ";"CHINA                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";9
"AC";"SAIDA  ";"VISITANTE ";"CUBA                                    ";4
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";4
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";5
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";5
"AC";"SAIDA  ";"VISITANTE ";"GRÉCIA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"GUINÉ EQUATORIAL                        ";2
"AC";"SAIDA  ";"VISITANTE ";"IRLANDA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"ITÁLIA                                  ";3
"AC";"SAIDA  ";"VISITANTE ";"JAPÃO                                   ";2
"AC";"SAIDA  ";"VISITANTE ";"LITUÂNIA                                ";2
"AC";"SAIDA  ";"VISITANTE ";"MÉXICO                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"PALAU                                   ";1
