"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ANGOLA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";18
"AC";"ENTRADA";"PERMANENTE";"BULGÁRIA                                ";1
"AC";"ENTRADA";"PERMANENTE";"CHILE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"CUBA                                    ";1
"AC";"ENTRADA";"PERMANENTE";"ESPANHA                                 ";1
"AC";"ENTRADA";"PERMANENTE";"ISRAEL                                  ";1
"AC";"ENTRADA";"PERMANENTE";"JAPÃO                                   ";2
"AC";"ENTRADA";"PERMANENTE";"PAÍSES BAIXOS                           ";3
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";66
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";2
"AC";"ENTRADA";"PERMANENTE";"URUGUAI                                 ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";5
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";6
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";12
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";377
"AC";"ENTRADA";"VISITANTE ";"CANADÁ                                  ";5
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";4
"AC";"ENTRADA";"VISITANTE ";"CHINA                                   ";2
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";36
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";4
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";13
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";4
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";3
"AC";"ENTRADA";"VISITANTE ";"PARAGUAI                                ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";938
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";6
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA TCHECA                        ";1
"AC";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";3
"AC";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";6
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"EGITO                                   ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";40
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";12
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";9
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";442
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";79
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";81
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";1
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PAQUISTÃO                               ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";22
"AC";"ENTRADA";"OUTROS    ";"URUGUAI                                 ";3
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";225
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";2
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";5
"AC";"ENTRADA";"OUTROS    ";"ITÁLIA                                  ";3
"AC";"ENTRADA";"OUTROS    ";"MÉXICO                                  ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";1049
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";1
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";6
"AC";"SAIDA  ";"PERMANENTE";"CHILE                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";1
"AC";"SAIDA  ";"PERMANENTE";"ESPANHA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";5
"AC";"SAIDA  ";"PERMANENTE";"JAPÃO                                   ";2
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";63
"AC";"SAIDA  ";"PERMANENTE";"PORTUGAL                                ";3
"AC";"SAIDA  ";"PERMANENTE";"URUGUAI                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";18
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";9
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";5
"AC";"SAIDA  ";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";347
"AC";"SAIDA  ";"VISITANTE ";"CAMARÕES                                ";2
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";4
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";3
"AC";"SAIDA  ";"VISITANTE ";"CHINA                                   ";2
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";12
"AC";"SAIDA  ";"VISITANTE ";"CONGO                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";12
"AC";"SAIDA  ";"VISITANTE ";"FRANÇA                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"GANA                                    ";1
"AC";"SAIDA  ";"VISITANTE ";"HAITI                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"ISRAEL                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"ITÁLIA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"JAPÃO                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"PAÍSES BAIXOS                           ";6
"AC";"SAIDA  ";"VISITANTE ";"PARAGUAI                                ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";893
"AC";"SAIDA  ";"VISITANTE ";"REINO UNIDO                             ";1
