UF_ATENDIMENTO;TIPO;CLASSIFICACAO;NACIONALIDADE;TOTAL
AC;ENTRADA;PERMANENTE;ARGENTINA                               ;5
AC;ENTRADA;PERMANENTE;BOLÍVIA                                 ;29
AC;ENTRADA;PERMANENTE;CHILE                                   ;1
AC;ENTRADA;PERMANENTE;COLÔMBIA                                ;11
AC;ENTRADA;PERMANENTE;ESTADOS UNIDOS                          ;1
AC;ENTRADA;PERMANENTE;HAITI                                   ;1
AC;ENTRADA;PERMANENTE;PERU                                    ;76
AC;ENTRADA;PERMANENTE;URUGUAI                                 ;1
AC;ENTRADA;PERMANENTE;VENEZUELA                               ;9
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;4
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;7
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;615
AC;ENTRADA;VISITANTE ;CHILE                                   ;2
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;23
AC;ENTRADA;VISITANTE ;COSTA RICA                              ;1
AC;ENTRADA;VISITANTE ;EQUADOR                                 ;6
AC;ENTRADA;VISITANTE ;ESPANHA                                 ;2
AC;ENTRADA;VISITANTE ;ESTADOS UNIDOS                          ;11
AC;ENTRADA;VISITANTE ;FRANÇA                                  ;5
AC;ENTRADA;VISITANTE ;IRLANDA                                 ;1
AC;ENTRADA;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;1109
AC;ENTRADA;VISITANTE ;SUÍÇA                                   ;1
AC;ENTRADA;VISITANTE ;URUGUAI                                 ;2
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;25
AC;ENTRADA;VISITANTE ;ÁUSTRIA                                 ;2
AC;ENTRADA;VISITANTE ;PERU                                    ;4
AC;ENTRADA;VISITANTE ;ALEMANHA                                ;1
AC;ENTRADA;VISITANTE ;ARGENTINA                               ;1
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;74
AC;ENTRADA;VISITANTE ;COLÔMBIA                                ;4
AC;ENTRADA;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;ENTRADA;VISITANTE ;PERU                                    ;93
AC;ENTRADA;VISITANTE ;VENEZUELA                               ;6
AC;ENTRADA;VISITANTE ;BOLÍVIA                                 ;3
AC;ENTRADA;OUTROS    ;FRANÇA                                  ;1
AC;ENTRADA;OUTROS    ;ESTADOS UNIDOS                          ;2
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;428
AC;ENTRADA;OUTROS    ;BRASIL                                  ;53
AC;ENTRADA;OUTROS    ;PERU                                    ;67
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;11
AC;ENTRADA;OUTROS    ;CUBA                                    ;11
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;5
AC;ENTRADA;OUTROS    ;GUATEMALA                               ;1
AC;ENTRADA;OUTROS    ;HAITI                                   ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;1
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;45
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;1
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;14
AC;ENTRADA;OUTROS    ;CHILE                                   ;2
AC;ENTRADA;OUTROS    ;COLÔMBIA                                ;2
AC;ENTRADA;OUTROS    ;EQUADOR                                 ;2
AC;ENTRADA;OUTROS    ;HAITI                                   ;1
AC;ENTRADA;OUTROS    ;PERU                                    ;30
AC;ENTRADA;OUTROS    ;VANUATU                                 ;1
AC;ENTRADA;OUTROS    ;VENEZUELA                               ;350
AC;ENTRADA;OUTROS    ;BOLÍVIA                                 ;7
AC;ENTRADA;OUTROS    ;PERU                                    ;1
AC;ENTRADA;TEMPORÁRIO;GUATEMALA                               ;1
AC;ENTRADA;OUTROS    ;BRASIL                                  ;912
AC;SAIDA  ;PERMANENTE;ARGENTINA                               ;4
AC;SAIDA  ;PERMANENTE;BOLÍVIA                                 ;24
AC;SAIDA  ;PERMANENTE;CAMARÕES                                ;1
AC;SAIDA  ;PERMANENTE;COLÔMBIA                                ;14
AC;SAIDA  ;PERMANENTE;PERU                                    ;66
AC;SAIDA  ;PERMANENTE;VENEZUELA                               ;11
AC;SAIDA  ;VISITANTE ;AFEGANISTÃO                             ;1
AC;SAIDA  ;VISITANTE ;ALEMANHA                                ;4
AC;SAIDA  ;VISITANTE ;ARGENTINA                               ;18
AC;SAIDA  ;VISITANTE ;BOLÍVIA                                 ;552
AC;SAIDA  ;VISITANTE ;BÉLGICA                                 ;1
AC;SAIDA  ;VISITANTE ;CANADÁ                                  ;1
AC;SAIDA  ;VISITANTE ;CHILE                                   ;2
AC;SAIDA  ;VISITANTE ;COLÔMBIA                                ;31
AC;SAIDA  ;VISITANTE ;CORÉIA DO SUL                           ;1
AC;SAIDA  ;VISITANTE ;CUBA                                    ;1
AC;SAIDA  ;VISITANTE ;EQUADOR                                 ;3
AC;SAIDA  ;VISITANTE ;ESPANHA                                 ;3
AC;SAIDA  ;VISITANTE ;ESTADOS UNIDOS                          ;12
AC;SAIDA  ;VISITANTE ;FRANÇA                                  ;4
AC;SAIDA  ;VISITANTE ;GUIANA                                  ;1
AC;SAIDA  ;VISITANTE ;ISRAEL                                  ;2
AC;SAIDA  ;VISITANTE ;PAÍSES BAIXOS                           ;7
AC;SAIDA  ;VISITANTE ;PERU                                    ;1060
AC;SAIDA  ;VISITANTE ;POLÔNIA                                 ;1
AC;SAIDA  ;VISITANTE ;REINO UNIDO                             ;2
AC;SAIDA  ;VISITANTE ;SUÉCIA                                  ;1
AC;SAIDA  ;VISITANTE ;SUÍÇA                                   ;1
AC;SAIDA  ;VISITANTE ;VENEZUELA                               ;12
AC;SAIDA  ;VISITANTE ;ÁUSTRIA                                 ;2
AC;SAIDA  ;VISITANTE ;PERU                                    ;4
AC;SAIDA  ;VISITANTE ;ALEMANHA                                ;1
AC;SAIDA  ;VISITANTE ;BOLÍVIA                                 ;62
AC;SAIDA  ;VISITANTE ;PAÍSES BAIXOS                           ;1
AC;SAIDA  ;VISITANTE ;PERU                                    ;73
AC;SAIDA  ;VISITANTE ;VENEZUELA                               ;3
AC;SAIDA  ;OUTROS    ;FRANÇA                                  ;1
AC;SAIDA  ;OUTROS    ;ESTADOS UNIDOS                          ;2
AC;SAIDA  ;OUTROS    ;BOLÍVIA                                 ;430
AC;SAIDA  ;OUTROS    ;BRASIL                                  ;62
AC;SAIDA  ;OUTROS    ;PERU                                    ;63
AC;SAIDA  ;OUTROS    ;CUBA                                    ;6
AC;SAIDA  ;OUTROS    ;MÉXICO                                  ;1
AC;SAIDA  ;OUTROS    ;VENEZUELA                               ;1
AC;SAIDA  ;OUTROS    ;ARGENTINA                               ;1
AC;SAIDA  ;OUTROS    ;COLÔMBIA                                ;2
AC;SAIDA  ;OUTROS    ;PERU                                    ;1
AC;SAIDA  ;OUTROS    ;BOLÍVIA                                 ;3
AC;SAIDA  ;OUTROS    ;VENEZUELA                               ;1
AC;SAIDA  ;OUTROS    ;BOLÍVIA                                 ;3
AC;SAIDA  ;OUTROS    ;ITÁLIA                                  ;1
AC;SAIDA  ;OUTROS    ;PERU                                    ;2
AC;SAIDA  ;TEMPORÁRIO;GUATEMALA                               ;1
AC;SAIDA  ;OUTROS    ;BRASIL                                  ;1077
AL;ENTRADA;PERMANENTE;ARGENTINA                               ;5
AL;ENTRADA;PERMANENTE;DINAMARCA                               ;2
AL;ENTRADA;PERMANENTE;ESPANHA                                 ;1
AL;ENTRADA;PERMANENTE;ITÁLIA                                  ;13
AL;ENTRADA;PERMANENTE;PAÍSES BAIXOS                           ;1
