"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";3
"AC";"ENTRADA";"PERMANENTE";"CHILE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";4
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";2
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";424
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";19
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";44
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";177
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";1
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";2
"AC";"SAIDA  ";"PERMANENTE";"SENEGAL                                 ";2
"AC";"SAIDA  ";"PERMANENTE";"SERRA LEOA                              ";3
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";1
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"VISITANTE ";"ISRAEL                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"ITÁLIA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";7
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";5
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";430
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";18
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";46
"AC";"SAIDA  ";"OUTROS    ";"PORTUGAL                                ";1
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"TEMPORÁRIO";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";144
"AL";"ENTRADA";"PERMANENTE";"ITÁLIA                                  ";5
"AL";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";2
"AL";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AL";"ENTRADA";"VISITANTE ";"PORTUGAL                                ";5
"AL";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";1
"AL";"ENTRADA";"OUTROS    ";"BANGLADESH                              ";10
"AL";"ENTRADA";"OUTROS    ";"CHINA                                   ";5
"AL";"ENTRADA";"OUTROS    ";"CROÁCIA                                 ";4
"AL";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";92
"AL";"ENTRADA";"OUTROS    ";"GRÉCIA                                  ";1
"AL";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";29
"AL";"ENTRADA";"OUTROS    ";"INDONÉSIA                               ";1
"AL";"ENTRADA";"OUTROS    ";"MONTENEGRO                              ";2
"AL";"ENTRADA";"OUTROS    ";"MYANMAR                                 ";5
"AL";"ENTRADA";"OUTROS    ";"ROMÊNIA                                 ";2
"AL";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";4
"AL";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";4
