"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";17
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";3
"AC";"ENTRADA";"PERMANENTE";"COSTA RICA                              ";2
"AC";"ENTRADA";"PERMANENTE";"CUBA                                    ";3
"AC";"ENTRADA";"PERMANENTE";"EQUADOR                                 ";1
"AC";"ENTRADA";"PERMANENTE";"ESTADOS UNIDOS                          ";1
"AC";"ENTRADA";"PERMANENTE";"GUATEMALA                               ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";47
"AC";"ENTRADA";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";6
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";5
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";5
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";375
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";4
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";35
"AC";"ENTRADA";"VISITANTE ";"COSTA RICA                              ";1
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";4
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";7
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";4
"AC";"ENTRADA";"VISITANTE ";"FINLÂNDIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";5
"AC";"ENTRADA";"VISITANTE ";"IRLANDA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";2
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";6
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";3
"AC";"ENTRADA";"VISITANTE ";"NORUEGA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";1060
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";1
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA TCHECA                        ";1
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";25
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";70
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";18
"AC";"ENTRADA";"VISITANTE ";"ROMÊNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"SURINAME                                ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";8
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";5
"AC";"ENTRADA";"OUTROS    ";"CANADÁ                                  ";2
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";461
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";70
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";34
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";3
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";5
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";5
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";201
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";2
"AC";"ENTRADA";"OUTROS    ";"MALÁSIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";4
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";16
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";6
"AC";"ENTRADA";"OUTROS    ";"SUÉCIA                                  ";1
"AC";"ENTRADA";"TEMPORÁRIO";"ESPANHA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";812
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";1
"AC";"SAIDA  ";"PERMANENTE";"BANGLADESH                              ";4
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";7
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";3
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";3
"AC";"SAIDA  ";"PERMANENTE";"ESPANHA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"ESTADOS UNIDOS                          ";2
"AC";"SAIDA  ";"PERMANENTE";"FRANÇA                                  ";2
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";1
"AC";"SAIDA  ";"PERMANENTE";"LÍBANO                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";40
"AC";"SAIDA  ";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";11
"AC";"SAIDA  ";"VISITANTE ";"ÁFRICA DO SUL                           ";2
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";7
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";332
"AC";"SAIDA  ";"VISITANTE ";"CAMARÕES                                ";4
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";4
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";25
"AC";"SAIDA  ";"VISITANTE ";"COSTA DO MARFIM                         ";1
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";4
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";6
