"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";10
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";10
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";4
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";414
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";89
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";109
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";13
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";11
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";111
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";2
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";17
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";4
"AC";"SAIDA  ";"OUTROS    ";"ARGENTINA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";5
"AC";"SAIDA  ";"OUTROS    ";"POLÔNIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";408
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";70
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";101
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";2
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"TEMPORÁRIO";"PERU                                    ";9
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";129
"AL";"ENTRADA";"PERMANENTE";"ALEMANHA                                ";1
"AL";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";1
"AL";"ENTRADA";"VISITANTE ";"PORTUGAL                                ";5
"AL";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";39
"AL";"ENTRADA";"OUTROS    ";"BANGLADESH                              ";3
"AL";"ENTRADA";"OUTROS    ";"CHINA                                   ";13
"AL";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";22
