"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ANGOLA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";2
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";12
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"ENTRADA";"PERMANENTE";"EQUADOR                                 ";1
"AC";"ENTRADA";"PERMANENTE";"ESTADOS UNIDOS                          ";1
"AC";"ENTRADA";"PERMANENTE";"HAITI                                   ";2
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";45
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";5
"AC";"ENTRADA";"VISITANTE ";"ÁFRICA DO SUL                           ";1
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";10
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";287
"AC";"ENTRADA";"VISITANTE ";"CANADÁ                                  ";2
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";7
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";23
"AC";"ENTRADA";"VISITANTE ";"DOMINICA                                ";4
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";7
"AC";"ENTRADA";"VISITANTE ";"ESLOVÁQUIA                              ";1
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";5
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"GUATEMALA                               ";3
"AC";"ENTRADA";"VISITANTE ";"HONDURAS                                ";1
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";573
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";13
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA TCHECA                        ";2
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";4
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";28
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";4
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";2
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";208
"AC";"ENTRADA";"VISITANTE ";"COSTA RICA                              ";2
"AC";"ENTRADA";"VISITANTE ";"CUBA                                    ";8
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";62
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";5
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";323
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";47
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";27
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";4
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";7
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";6
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";4
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";12
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";243
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";3
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";932
"AC";"SAIDA  ";"PERMANENTE";"ANGOLA                                  ";2
"AC";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";1
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";10
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";5
"AC";"SAIDA  ";"PERMANENTE";"CUBA                                    ";6
"AC";"SAIDA  ";"PERMANENTE";"EQUADOR                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"FILIPINAS                               ";1
"AC";"SAIDA  ";"PERMANENTE";"GÂMBIA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";2
"AC";"SAIDA  ";"PERMANENTE";"NIGÉRIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";41
"AC";"SAIDA  ";"PERMANENTE";"RÚSSIA                                  ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";3
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";4
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";6
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";266
"AC";"SAIDA  ";"VISITANTE ";"CANADÁ                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"CHILE                                   ";2
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";17
"AC";"SAIDA  ";"VISITANTE ";"EQUADOR                                 ";5
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AC";"SAIDA  ";"VISITANTE ";"GUATEMALA                               ";3
"AC";"SAIDA  ";"VISITANTE ";"ITÁLIA                                  ";1
"AC";"SAIDA  ";"VISITANTE ";"MARROCOS                                ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";530
"AC";"SAIDA  ";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";1
"AC";"SAIDA  ";"VISITANTE ";"RÚSSIA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"SUÍÇA                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";3
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";2
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";5
"AC";"SAIDA  ";"VISITANTE ";"ARGENTINA                               ";2
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";199
"AC";"SAIDA  ";"VISITANTE ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"VISITANTE ";"COSTA RICA                              ";2
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AC";"SAIDA  ";"VISITANTE ";"HAITI                                   ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";54
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";6
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";319
