"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";7
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";16
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";4
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";14
"AC";"ENTRADA";"VISITANTE ";"IÊMEN                                   ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";4
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";587
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";112
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";154
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";2
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";16
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";303
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";3
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";6
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";46
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";3
"AC";"ENTRADA";"TEMPORÁRIO";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"TEMPORÁRIO";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";169
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"PERMANENTE";"HAITI                                   ";14
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";9
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";15
"AC";"SAIDA  ";"VISITANTE ";"CUBA                                    ";4
"AC";"SAIDA  ";"VISITANTE ";"FRANÇA                                  ";2
"AC";"SAIDA  ";"VISITANTE ";"HAITI                                   ";3
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";7
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";3
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";2
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";578
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";73
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";156
"AC";"SAIDA  ";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"SAIDA  ";"OUTROS    ";"HAITI                                   ";1
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";2
"AC";"SAIDA  ";"OUTROS    ";"HAITI                                   ";2
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";6
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"TEMPORÁRIO";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";243
"AL";"ENTRADA";"OUTROS    ";"ÁFRICA DO SUL                           ";1
"AL";"ENTRADA";"OUTROS    ";"CROÁCIA                                 ";1
"AL";"ENTRADA";"OUTROS    ";"FILIPINAS                               ";14
"AL";"ENTRADA";"OUTROS    ";"ÍNDIA                                   ";50
"AL";"ENTRADA";"OUTROS    ";"LETÔNIA                                 ";1
"AL";"ENTRADA";"OUTROS    ";"LITUÂNIA                                ";1
"AL";"ENTRADA";"OUTROS    ";"REINO UNIDO                             ";1
"AL";"ENTRADA";"OUTROS    ";"ROMÊNIA                                 ";2
"AL";"ENTRADA";"OUTROS    ";"RÚSSIA                                  ";14
"AL";"ENTRADA";"OUTROS    ";"SRI LANKA                               ";1
"AL";"ENTRADA";"OUTROS    ";"UCRÂNIA                                 ";23
"AL";"SAIDA  ";"OUTROS    ";"CHINA                                   ";11
"AL";"SAIDA  ";"OUTROS    ";"TURQUIA                                 ";17
"AL";"SAIDA  ";"OUTROS    ";"VIETNÃ                                  ";7
"AM";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";2
"AM";"ENTRADA";"PERMANENTE";"BANGLADESH                              ";1
"AM";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";50
"AM";"ENTRADA";"PERMANENTE";"CUBA                                    ";2
"AM";"ENTRADA";"PERMANENTE";"ESTADOS UNIDOS                          ";10
"AM";"ENTRADA";"PERMANENTE";"FRANÇA                                  ";4
"AM";"ENTRADA";"PERMANENTE";"HAITI                                   ";333
"AM";"ENTRADA";"PERMANENTE";"ÍNDIA                                   ";2
"AM";"ENTRADA";"PERMANENTE";"PERU                                    ";2
"AM";"ENTRADA";"PERMANENTE";"SÃO TOMÉ E PRÍNCIPE                     ";1
"AM";"ENTRADA";"PERMANENTE";"SUÉCIA                                  ";1
"AM";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";5
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";31
"AM";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";2
"AM";"ENTRADA";"VISITANTE ";"GRÉCIA                                  ";1
"AM";"ENTRADA";"VISITANTE ";"HAITI                                   ";4
"AM";"ENTRADA";"VISITANTE ";"IRLANDA                                 ";1
"AM";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";1
"AM";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";3
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";8
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";10
"AM";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";1
"AM";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";9
"AM";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";16
"AM";"ENTRADA";"VISITANTE ";"PERU                                    ";1
"AM";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";1
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"EMIRADOS ÁRABES UNIDOS                  ";4
"AM";"ENTRADA";"OUTROS    ";"ALEMANHA                                ";1
"AM";"ENTRADA";"OUTROS    ";"ARGENTINA                               ";1
"AM";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";28
"AM";"ENTRADA";"OUTROS    ";"CANADÁ                                  ";3
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";13
"AM";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";13
"AM";"ENTRADA";"OUTROS    ";"MÉXICO                                  ";6
"AM";"ENTRADA";"OUTROS    ";"PANAMÁ                                  ";3
"AM";"ENTRADA";"OUTROS    ";"PORTUGAL                                ";1
"AM";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";5
"AM";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";2
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";3
"AM";"ENTRADA";"OUTROS    ";"HAITI                                   ";5
"AM";"ENTRADA";"OUTROS    ";"ESTADOS UNIDOS                          ";3
"AM";"ENTRADA";"TEMPORÁRIO";"COLÔMBIA                                ";2
"AM";"ENTRADA";"TEMPORÁRIO";"HAITI                                   ";287
"AM";"ENTRADA";"OUTROS    ";"BRASIL                                  ";311
"AM";"SAIDA  ";"PERMANENTE";"ARGENTINA                               ";1
"AM";"SAIDA  ";"PERMANENTE";"CHILE                                   ";2
"AM";"SAIDA  ";"PERMANENTE";"COLÔMBIA                                ";81
"AM";"SAIDA  ";"PERMANENTE";"CORÉIA DO SUL                           ";3
"AM";"SAIDA  ";"PERMANENTE";"CUBA                                    ";2
"AM";"SAIDA  ";"PERMANENTE";"ESTADOS UNIDOS                          ";11
"AM";"SAIDA  ";"PERMANENTE";"FRANÇA                                  ";1
"AM";"SAIDA  ";"PERMANENTE";"HAITI                                   ";234
"AM";"SAIDA  ";"PERMANENTE";"PERU                                    ";7
"AM";"SAIDA  ";"PERMANENTE";"REPÚBLICA DOMINICANA                    ";1
"AM";"SAIDA  ";"PERMANENTE";"SÃO TOMÉ E PRÍNCIPE                     ";1
"AM";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";6
