"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";8
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";19
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";5
"AC";"ENTRADA";"VISITANTE ";"BÉLGICA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";162
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";1
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"PARAGUAI                                ";4
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";22
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";14
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";4
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";473
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";134
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";29
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";2
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";12
"AC";"ENTRADA";"OUTROS    ";"SUDÃO                                   ";1
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";235
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";7
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";3
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";241
"AC";"SAIDA  ";"PERMANENTE";"APÁTRIDA                                ";1
"AC";"SAIDA  ";"PERMANENTE";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"PERMANENTE";"NIGÉRIA                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"PERU                                    ";37
"AC";"SAIDA  ";"PERMANENTE";"SENEGAL                                 ";1
"AC";"SAIDA  ";"PERMANENTE";"VENEZUELA                               ";2
"AC";"SAIDA  ";"VISITANTE ";"ALEMANHA                                ";1
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";54
"AC";"SAIDA  ";"VISITANTE ";"ESPANHA                                 ";1
"AC";"SAIDA  ";"VISITANTE ";"ESTADOS UNIDOS                          ";1
"AC";"SAIDA  ";"VISITANTE ";"PARAGUAI                                ";2
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";17
"AC";"SAIDA  ";"VISITANTE ";"SURINAME                                ";1
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";5
"AC";"SAIDA  ";"VISITANTE ";"BOLÍVIA                                 ";3
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";1
"AC";"SAIDA  ";"VISITANTE ";"VENEZUELA                               ";1
"AC";"SAIDA  ";"VISITANTE ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";1
"AC";"SAIDA  ";"OUTROS    ";"ARGENTINA                               ";1
"AC";"SAIDA  ";"OUTROS    ";"ESTADOS UNIDOS                          ";2
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";478
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";121
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";32
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";2
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";2
"AC";"SAIDA  ";"OUTROS    ";"BOLÍVIA                                 ";4
"AC";"SAIDA  ";"OUTROS    ";"VENEZUELA                               ";4
"AC";"SAIDA  ";"OUTROS    ";"PERU                                    ";2
"AC";"SAIDA  ";"OUTROS    ";"BRASIL                                  ";251
"AL";"ENTRADA";"PERMANENTE";"ALEMANHA                                ";2
"AL";"ENTRADA";"PERMANENTE";"ÁUSTRIA                                 ";1
"AL";"ENTRADA";"PERMANENTE";"ESPANHA                                 ";4
"AL";"ENTRADA";"PERMANENTE";"FRANÇA                                  ";1
"AL";"ENTRADA";"PERMANENTE";"IRLANDA                                 ";3
"AL";"ENTRADA";"PERMANENTE";"ITÁLIA                                  ";13
"AL";"ENTRADA";"PERMANENTE";"PAÍSES BAIXOS                           ";1
