"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";10
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";3
"AC";"ENTRADA";"PERMANENTE";"ESPANHA                                 ";1
"AC";"ENTRADA";"PERMANENTE";"HAITI                                   ";2
"AC";"ENTRADA";"PERMANENTE";"MARROCOS                                ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";64
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"REPÚBLICA DOMINICANA                    ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";9
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";2
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";3
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";245
"AC";"ENTRADA";"VISITANTE ";"CANADÁ                                  ";3
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";2
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";22
"AC";"ENTRADA";"VISITANTE ";"EGITO                                   ";1
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";8
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";3
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";7
"AC";"ENTRADA";"VISITANTE ";"FINLÂNDIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"HONDURAS                                ";1
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";1
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"LUXEMBURGO                              ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";6
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"VISITANTE ";"PARAGUAI                                ";4
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";709
"AC";"ENTRADA";"VISITANTE ";"POLÔNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";2
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";10
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";5
"AC";"ENTRADA";"VISITANTE ";"TUNÍSIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";18
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";4
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";9
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";14
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";7
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";5
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";29
