"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";14
"AC";"ENTRADA";"PERMANENTE";"CHILE                                   ";1
"AC";"ENTRADA";"PERMANENTE";"CUBA                                    ";4
"AC";"ENTRADA";"PERMANENTE";"PARAGUAI                                ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";84
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";3
"AC";"ENTRADA";"VISITANTE ";"ÁFRICA DO SUL                           ";1
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";55
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";8
"AC";"ENTRADA";"VISITANTE ";"AUSTRÁLIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"BÉLGICA                                 ";6
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";491
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";3
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";8
"AC";"ENTRADA";"VISITANTE ";"COSTA RICA                              ";1
"AC";"ENTRADA";"VISITANTE ";"DINAMARCA                               ";1
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";4
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";5
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";18
"AC";"ENTRADA";"VISITANTE ";"FILIPINAS                               ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";8
"AC";"ENTRADA";"VISITANTE ";"IRÃ                                     ";1
"AC";"ENTRADA";"VISITANTE ";"ISLÂNDIA                                ";1
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";2
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";6
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";3
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";5
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";1411
"AC";"ENTRADA";"VISITANTE ";"POLÔNIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";1
"AC";"ENTRADA";"VISITANTE ";"URUGUAI                                 ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";23
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";3
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";51
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";1
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";8
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";8
