"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ALEMANHA                                ";1
"AC";"ENTRADA";"PERMANENTE";"ANGOLA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";2
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";36
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";2
"AC";"ENTRADA";"PERMANENTE";"CUBA                                    ";2
"AC";"ENTRADA";"PERMANENTE";"ESPANHA                                 ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";43
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";1
"AC";"ENTRADA";"PERMANENTE";"RÚSSIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";5
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";5
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";12
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";625
"AC";"ENTRADA";"VISITANTE ";"CANADÁ                                  ";5
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";9
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";18
"AC";"ENTRADA";"VISITANTE ";"EL SALVADOR                             ";1
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";5
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";8
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";9
"AC";"ENTRADA";"VISITANTE ";"FINLÂNDIA                               ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";5
"AC";"ENTRADA";"VISITANTE ";"GUATEMALA                               ";1
"AC";"ENTRADA";"VISITANTE ";"IRLANDA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";3
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";2
"AC";"ENTRADA";"VISITANTE ";"LITUÂNIA                                ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";1
"AC";"ENTRADA";"VISITANTE ";"PAÍSES BAIXOS                           ";4
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";800
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";1
