"UF_ATENDIMENTO";"TIPO";"CLASSIFICACAO";"NACIONALIDADE";TOTAL
"AC";"ENTRADA";"PERMANENTE";"ARGENTINA                               ";1
"AC";"ENTRADA";"PERMANENTE";"BOLÍVIA                                 ";18
"AC";"ENTRADA";"PERMANENTE";"COLÔMBIA                                ";4
"AC";"ENTRADA";"PERMANENTE";"COSTA RICA                              ";1
"AC";"ENTRADA";"PERMANENTE";"ESPANHA                                 ";2
"AC";"ENTRADA";"PERMANENTE";"HAITI                                   ";1
"AC";"ENTRADA";"PERMANENTE";"ITÁLIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"PAÍSES BAIXOS                           ";1
"AC";"ENTRADA";"PERMANENTE";"PERU                                    ";62
"AC";"ENTRADA";"PERMANENTE";"PORTUGAL                                ";2
"AC";"ENTRADA";"PERMANENTE";"REINO UNIDO                             ";1
"AC";"ENTRADA";"PERMANENTE";"SUÉCIA                                  ";1
"AC";"ENTRADA";"PERMANENTE";"VENEZUELA                               ";10
"AC";"ENTRADA";"VISITANTE ";"ALEMANHA                                ";3
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";11
"AC";"ENTRADA";"VISITANTE ";"ÁUSTRIA                                 ";2
"AC";"ENTRADA";"VISITANTE ";"BÉLGICA                                 ";5
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";448
"AC";"ENTRADA";"VISITANTE ";"CAZAQUISTÃO                             ";1
"AC";"ENTRADA";"VISITANTE ";"CHILE                                   ";3
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";18
"AC";"ENTRADA";"VISITANTE ";"EQUADOR                                 ";2
"AC";"ENTRADA";"VISITANTE ";"ESPANHA                                 ";5
"AC";"ENTRADA";"VISITANTE ";"ESTADOS UNIDOS                          ";8
"AC";"ENTRADA";"VISITANTE ";"ETIÓPIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";5
"AC";"ENTRADA";"VISITANTE ";"GUATEMALA                               ";2
"AC";"ENTRADA";"VISITANTE ";"GUIANA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"HONDURAS                                ";1
"AC";"ENTRADA";"VISITANTE ";"IRÃ                                     ";1
"AC";"ENTRADA";"VISITANTE ";"ISRAEL                                  ";4
"AC";"ENTRADA";"VISITANTE ";"ITÁLIA                                  ";3
"AC";"ENTRADA";"VISITANTE ";"JAPÃO                                   ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";4
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";1044
"AC";"ENTRADA";"VISITANTE ";"POLÔNIA                                 ";1
"AC";"ENTRADA";"VISITANTE ";"REINO UNIDO                             ";1
"AC";"ENTRADA";"VISITANTE ";"REPÚBLICA DOMINICANA                    ";4
"AC";"ENTRADA";"VISITANTE ";"RÚSSIA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"SUÍÇA                                   ";2
"AC";"ENTRADA";"VISITANTE ";"TRINIDAD E TOBAGO                       ";1
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";12
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";1
"AC";"ENTRADA";"VISITANTE ";"ARGENTINA                               ";1
"AC";"ENTRADA";"VISITANTE ";"BOLÍVIA                                 ";65
"AC";"ENTRADA";"VISITANTE ";"COLÔMBIA                                ";1
"AC";"ENTRADA";"VISITANTE ";"FRANÇA                                  ";1
"AC";"ENTRADA";"VISITANTE ";"MÉXICO                                  ";4
"AC";"ENTRADA";"VISITANTE ";"PERU                                    ";12
"AC";"ENTRADA";"VISITANTE ";"VENEZUELA                               ";5
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";2
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";3
"AC";"ENTRADA";"OUTROS    ";"BOLÍVIA                                 ";393
"AC";"ENTRADA";"OUTROS    ";"BRASIL                                  ";93
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";32
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";4
"AC";"ENTRADA";"OUTROS    ";"ARGÉLIA                                 ";1
"AC";"ENTRADA";"OUTROS    ";"CHILE                                   ";1
"AC";"ENTRADA";"OUTROS    ";"COLÔMBIA                                ";6
"AC";"ENTRADA";"OUTROS    ";"CUBA                                    ";4
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";5
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";13
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";253
"AC";"ENTRADA";"OUTROS    ";"HAITI                                   ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";1
"AC";"ENTRADA";"OUTROS    ";"EQUADOR                                 ";1
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";2
"AC";"ENTRADA";"OUTROS    ";"VENEZUELA                               ";5
"AC";"ENTRADA";"OUTROS    ";"PERU                                    ";1
"AC";"ENTRADA";"TEMPORÁRIO";"BOLÍVIA                                 ";1
