UF_ATENDIMENTO,TOTAL_ATENDIMENTOS,LAT,LON
SP,28602551.0,-23.5505,-46.6333
RJ,7311534.0,-22.9068,-43.1729
RS,3861201.0,-30.0346,-51.2177
PR,3365565.0,-25.4284,-49.2733
SC,1527328.0,-27.5954,-48.548
BA,1060049.0,-12.5791,-41.2849
DF,1043781.0,-15.7801,-47.9292
CE,817979.0,-5.5467,-39.3206
PE,712487.0,-8.0476,-34.877
MG,626416.0,-18.5157,-44.2343
